fitness_modele_1,103769.813228,103551.398872,103766.166835,103766.541672,103756.884980,103740.547618,103592.343681,103739.453496,103747.795700,103752.925229,103729.734887,103729.624328,103747.853674,103743.440436,103742.519211,103661.781544,103559.544953,103714.283438,103705.119953,103715.273691,
fitness_modele_2,227.818727,226.831552,227.738611,227.678738,227.533590,227.669955,228.038856,227.667631,227.317752,227.351106,227.344201,227.383102,227.281246,227.266216,227.044573,226.030923,227.432190,227.056541,226.424169,226.460087,
fitness_modele_3,130225.674955,130232.865992,130220.583609,130203.857809,130225.403713,130214.560213,130273.043814,130223.839304,130220.825234,130251.404778,130231.997491,130247.827068,130217.634493,130216.244124,130255.280418,130168.228108,130293.861529,130218.323144,130138.849432,130143.686921,
fitness_modele_4,128973.679378,128860.574600,128970.151588,128968.994092,128958.799753,128948.432086,128868.888934,128942.788537,128942.706298,128945.250782,128932.875293,128931.715687,128937.749318,128934.466313,128931.316152,128888.157735,128835.124926,128914.760980,128905.353881,128910.509022,
fitness_modele_5,26.737413,26.739633,26.726914,26.718630,26.702378,26.724124,26.733292,26.724491,26.756786,26.760213,26.722273,26.687263,26.752688,26.751373,26.721618,26.706405,26.741800,26.727504,26.732771,26.731841,
fitness_modele_6,22.978779,23.085654,22.958030,22.965223,22.950524,22.971608,23.113709,22.964383,22.913894,22.905416,22.959676,22.930965,22.910277,22.973438,22.897719,23.198738,23.114366,22.981009,22.953488,22.937221,
fitness_modele_7,26.737413,26.739633,26.726914,26.718630,26.702378,26.724124,26.733292,26.724491,26.756786,26.760213,26.722273,26.687263,26.752688,26.751373,26.721618,26.706405,26.741800,26.727504,26.732771,26.731841,
fitness_modele_8,22.972196,23.089068,22.952396,22.952363,22.952071,22.971475,23.140691,22.971313,22.919824,22.924486,22.974976,22.952428,22.923050,22.983963,22.924088,23.209313,23.163245,22.996494,22.953248,22.936733,
fitness_modele_9,155783.785472,155782.701642,155780.383843,155777.596360,155766.830110,155762.812585,155756.305965,155752.329675,155743.286104,155743.080798,155742.209392,155739.933883,155732.994567,155730.913826,155725.392678,155722.208434,155721.515159,155721.262511,155711.596273,155711.434256,
nb_de_dij_non_nuls,273,268,273,274,272,272,266,271,272,270,270,269,271,271,269,271,263,270,274,274,
nb_de_parents_utilises,147,150,149,148,149,150,150,149,149,148,148,148,148,150,147,150,149,149,150,148,
nb_de_dij_non_nuls_au_minimum,159,164,159,160,158,157,160,158,160,157,157,156,157,157,156,159,157,157,163,162,
nb_de_dij_non_nuls_au_maximum,27,20,28,28,28,27,29,27,26,27,27,27,27,27,27,9,28,28,26,27,
